,text,preprocessed,final_label_hs,final_label_al,final_class,source
28,b'Memang iblis punya perangai yang buat kucing macam tu zzzzzzzz tak sanggup aku tgk \xf0\x9f\x98\xad',memang iblis punya perangai yang buat kucing macam itu zzzzzzzz tak sanggup aku tegak wajah menangis keras atau menangis tersedu sedu,0,1,3,tesis-okky
29,"b'Kalo dia butuh, baek nya kayak malaikat yg nempel kayak ulat jambu. Sekalinya gw yg butuh minggat kayak ga punya dosa... Brengsek banget kan?'",kalo dia butuh baik nya kayak malaikat yang menempel kayak ulat jambu sekalinya gue yang butuh minggat kayak tidak punya dosa brengsek banget kan,1,1,1,tesis-okky
30,b'balakan balikan congor mu',balakan balikan congor mu,1,1,1,jawa-okky
31,@subtanyarl Waktu kelas 2 sd anjir nonton naughty kiss bejad bgt gua',waktu kelas 2 sekolah dasar anjir menonton naughty kiss bejat banget gua,0,1,3,jawa-nina
32,"b'habis curekan, kuping malah tambah budeg kok bisaa \xf0\x9f\x98\x82\xf0\x9f\x98\xad'",habis curekan kuping malah tambah budek kok bisa wajah gembira berurai air mata wajah menangis keras atau menangis tersedu sedu,0,1,3,jawa-okky
33,Bokong gw merinding nonton nya...\xf0\x9f\x98\x96 https://t.co/4NdZBUa2eW',bokong gue merinding menonton nya terkutuk <links>,0,1,3,jawa-nina
34,RT @mosangada72: Masih mau memilih Agus-Sylvi???\nAnaknya SBY dan Keluarga Koruptor\n#BlusukanAhok\n#BerjamaahCoblosPecinya\u2026,masih mau memilih agus sylvi anaknya sby dan keluarga koruptor blusukanahok berjamaahcoblospecinya u2026,1,1,1,tesis-okky
35,b'@ayahnyafaris Ternyata hanya REKAYASA kacung Aseng @psi_id cs!\nBIKIN maluuuuu! \n#2019GantiPresiden',ternyata hanya rekayasa kacung aseng cs bikin maluuuuu 2019gantipresiden,1,1,1,tesis-okky
36,"b'@premantrotoar cocotmu, mata lu picek'",cocotmu mata kamu picek,1,1,1,jawa-okky
37,Bejad https://t.co/m2rtP05HYz',bejad <links>,0,1,3,jawa-nina
38,RT @pajok78 kalau jokowi ga bs diingatkan... mundur aja jendral.. bantai doi th 2019 lewat pemilihan presiden,kalau jokowi tidak bisa diingatkan mundur saja jendral bantai dia tahun 2019 lewat pemilihan presiden,1,0,2,tesis-okky
39,b'@dobbyfordior jaga cocotmu',jaga cocotmu,1,1,1,jawa-okky
40,b'GUA UDAH MODAR',gua udah modar,0,1,3,tesis-okky
41,"b'@pena_kusam @Haniffiaha Lha nggh to mas eg niku lho rencana kulo sampun rembukan kleh kluarga ne kulo nggh kaleh keluarga ne mriko akhir tahun niki ajeng lamaran, nk ra wong atos tenan isoh edan mas aku'",lha nggh to mas eg niku lo rencana kulo sampun rembukan kleh keluarga ini kulo nggh kaleh keluarga ini mriko akhir tahun niki ajeng lamaran natural killer ra orang atos benaran isoh edan mas aku,0,1,3,jawa-okky
42,@Vdejunweishen lu ngaca gebleg',kamu mengaca gebleg,0,1,3,jawa-nina
43,b'@maeaja6 tahan ketek jangan sampe keangkat',tahan ketek jangan sampai keangkat,0,1,3,jawa-okky
44,b'@JUNHOExBC masi pagu ngajak gelut onta',masih pagu mengajak gelut onta,1,1,1,tesis-okky
45,"b'Pokoke kudu goodloking, rak goodloking koe diacuhke. Hahaha gatel tai asuuu pemikiran wong goblok'",pokoke harus goodloking rak goodloking koe diacuhke hahaha gatal tai anjing pemikiran orang goblok,1,1,1,jawa-okky
46,"Ini akan memukul mundur ketika pemilihan presiden 2019 (para pedagang kecil diperkampungan padang pariaman)berkata ""Jaman Jokowi ni ekonomi payah lah"" (1)",ini akan memukul mundur ketika pemilihan presiden 2019 para pedagang kecil di perkampungan padang pariaman berkata jaman jokowi nih ekonomi payah lah 1,1,0,2,tesis-okky
47,"wooo munyuk, sopo i cuk https://t.co/Z1V1M8HS6O'",wooo munyuk siapa i cuk <links>,0,1,3,jawa-nina
48,"b'Jangan karena opininya sesuai keinginan, terdakwa terorisme bisa dimintai pendapatnya di ruang publik. \n\nSedikit atau banyak, publik diminta untuk percaya opini dia. Kebetulan saja kali ini kontra dg aksi bom Surabaya.'",jangan karena opininya sesuai keinginan terdakwa terorisme bisa dimintai pendapatnya di ruang publik sedikit atau banyak publik diminta untuk percaya opini dia kebetulan saja kali ini kontra dengan aksi bom surabaya,0,0,4,tesis-okky
49,"b'bgstttt mau2nyaaaaaaaaaaaaaaa, nggateli cok memekmu kemasukan smut nnti https://t.co/RmcIe7rLqA'",bgstttt mau2nyaaaaaaaaaaaaaaa nggateli cok memekmu kemasukan smut nanti <links>,1,1,1,jawa-okky
50,"Pendapat Om Rocky bukan hal yang baru bahkan cenderung ketinggalan, coba kalian bayangkan 8 tahun yang lalu sudah ada Anak Bangsa yang berpendapat bahwa Kitab Suci itu Fiksi yang diyakini, jika itu menista Agama mengapa pada saat itu tidak diproses hukum #",pendapat om rocky bukan hal yang baru bahkan cenderung ketinggalan coba kalian bayangkan 8 tahun yang lalu sudah ada anak bangsa yang berpendapat bahwa kitab suci itu fiksi yang diyakini jika itu menista agama mengapa pada saat itu tidak diproses hukum,0,0,4,tesis-okky
51,b'@snoopyounie cangkemmu \xf0\x9f\x98\xbc',cangkemmu wajah kucing menyeringai,1,1,1,jawa-okky
52,b'@claudinecraeg Belum anjir',belum anjir,0,1,3,tesis-okky
53,b'RT @riskigaysex: Part3 . Anjing Enk bgt ... Si ganteng bertato Ngerasain setiap sodokan kontol gw\xf0\x9f\x92\xa6\xf0\x9f\x92\xa6 https://t.co/1xLEM17qD8',part3 anjing enk banget si ganteng bertato ngerasain setiap sodokan kontol gw tetesan keringat tetesan keringat <links>,0,1,3,tesis-okky
54,@dheanrs bokong besi',bokong besi,0,1,3,jawa-nina
55,"b'@salssucks @tinyblink14 jancukkkkkk koe dif, aku lg dewean asu'",jancukkkkkk koe dif aku lagi dewean asu,1,1,1,jawa-okky
56,"b'cocotmu lebokno shoppee, tak chekout e'",cocotmu lebokno shoppee tak chekout e,1,1,1,jawa-okky
57,"b'lambemu ojo kakean mbladus, gailok \nngkok ditapok malaekat penceng congormu syg'",lambemu ojek online kebanyakan mbladus gailok ngkok ditapok malaekat penceng congormu syg,1,1,1,jawa-okky
58,Jatim anti berita Hoax Pilkada Damai,jatim anti berita hoax pilkada damai,0,0,4,tesis-okky
59,"Menakutkan: pembicaraan mengenai calon presiden RI hanya seputar bagaimana cara menang pemilihan presiden, bukan mengenai siapa yang memiliki program pembangunan terbaik. #Pilpres2019",menakutkan pembicaraan mengenai calon presiden ri hanya seputar bagaimana cara menang pemilihan presiden bukan mengenai siapa yang memiliki program pembangunan terbaik pilpres2019,0,0,4,tesis-okky
60,b'@ILC_tvOnenews @yunartowijaya @karniilyas Congor nya Dedemit.',congor nya dedemit,1,1,1,tesis-okky
61,Ketua Umum PPP M. Romahurmuziy bersilaturahmi ke kediaman Ketua Utama Alkhairaat Habib Sayyid Saggaf Muhammad Aljufri.Ā ; #Romahurmuziy ; #PPP10Sempurna,ketua umum ppp m romahurmuziy bersilaturahmi ke kediaman ketua utama alkhairaat habib sayyid saggaf muhammad aljufri ā romahurmuziy ppp10sempurna,0,0,4,tesis-okky
62,@MaulanaRp Sek yo tak ngising',sek iya tak ngising,0,0,4,jawa-nina
63,b'@KIMTAEHYUGIN Apadong? Bom atom?',apadong bom atom,0,0,4,tesis-okky
64,@txtdrberseragam Kok gw gangerti alias gw goblog banget',kok gue enggak mengerti alias gue goblok banget,0,1,3,jawa-nina
65,"ISIS adalah Islam, Islam adalah ISIS, mau hidup baik tinggalkan Islam, stop solat & mengaji",isis adalah islam islam adalah isis mau hidup baik tinggalkan islam stop salat mengaji,1,0,2,tesis-okky
66,udah jelas-jelas merusak masih aja dibela.. heran liat pemerintahan sekarang,sudah jelas jelas merusak masih saja dibela heran lihat pemerintahan sekarang,1,0,2,tesis-okky
67,b'Body Lufra/ scrub dg bhn dasar lidah buaya utk mlembabkn kulit &amp; lbh bcahaya  info: 087812026394 #BMI',body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit dan lebih bercahaya info 087812026394 bmi,0,0,4,tesis-okky
68,"b'@RahmatR35554528 @Koces871 @KomisiIX @karniilyas @Aspek_Indonesia @jokowi @dedeyusuf_1 @m_mirah Yang ku khawatirkan...\n\nKlo sampai TKA ini angkat senjata, atau ""menguasai"" desa (cuma tempat singgahan/markas (mungkin)...\n\nWilayah Indonesia Timur langs",yang ku khawatirkan klo sampai tka ini angkat senjata atau menguasai desa cuma tempat singgahan markas mungkin wilayah indonesia timur langsung,0,0,4,tesis-okky
69,"Yg kaya Indonesia bukan orang Indonesia, tapi cina, kan aneh. Ayo Pribumi, usir mereka dari Negeri kita ini.",yg kayak indonesia bukan orang indonesia tapi cina kan aneh ayo pribumi usir mereka dari negeri kita ini,1,0,2,tesis-okky
70,KPK Periksa Gubernur dan Cawagub Sumut Ijeck Shah,kpk periksa gubernur dan cawagub sumut ijeck shah,0,0,4,tesis-okky
71,"b'RT @Dennysiregar7: Dari ribuan sperma yang berebut menetas, menjadi kampret adalah sebuah kesalahan alam..'",dari ribuan sperma yang berebut menetas menjadi kampret adalah sebuah kesalahan alam,0,1,3,tesis-okky
72,@tong_tong_shot bajul e warna-warni gak?',bajul e warna warni gak,0,0,4,jawa-nina
73,"(19) Dalam kancah politik, ā??mengalir sajaā?? disebut sebagai budaya politik atau perilaku politik atau boleh juga ā??faithā??. (diambil dari buku Kang Syaikhu, karya Bung Adi Siregar). @syaikhu_ahmad alumni dari Sekolah Tinggi Akuntansi Negara Ā @ajatsyaikhu #Asy",19 dalam kancah politik ā mengalir sajaā disebut sebagai budaya politik atau perilaku politik atau boleh juga ā faithā diambil dari buku kang syaikhu karya bung adi siregar alumni dari sekolah tinggi akuntansi negara ā asy,0,0,4,tesis-okky
74,duh asu kesel',aduh anjing kesel,0,1,3,jawa-nina
75,"Pndukung Prabowo spt ARB, SDA adl org2 bejad tabiatnya kasar termasuk org ini &gt;&gt; novrinawawi'",pndukung prabowo surat pemberitahuan tahunan arb sda adalah orang orang bejat tabiatnya kasar termasuk orang ini > novrinawawi,1,1,1,jawa-nina
76,"b'@piyeyobu wes gemati, kadung ditresnani, malah diblenjani, jan nggateli'",sudah gemati kadung ditresnani malah diblenjani jangan nggateli,0,1,3,jawa-okky
77,b'@coutherz Gua setan dongggg',gua setan dongggg,0,1,3,tesis-okky
78,Keturunan cina rasis ini apa juga paham sejarah Indonesia ? Paling-paling tidak paham juga? -,keturunan cina racist ini apa juga paham sejarah indonesia paling paling tidak paham juga,1,0,2,tesis-okky
79,"b'2020 berkesan, banyak cerita yg membuat ku kudu prengas prenges, nyengar nyengir koyo wong edan'",2020 berkesan banyak cerita yang membuat ku harus prengas prenges nyengar menyengir koyo orang edan,0,1,3,jawa-okky
80,b'@papua_tonystark @hnurwahid Sontoloyo\nCebong mendem aja sono',sontoloyo cebong mendem saja sono,1,1,1,tesis-okky
81,b'@heycireng iya kan jatah hari ini cuma 1 batang jdnya',iya kan jatah hari ini cuma 1 batang jdnya,0,0,4,jawa-okky
82,Masalah dunia dan masalah nafsu ya kang @ridwankamil . Kata2 kok bersayap kayak burung hantu. https://t.co/mwClbkU4sT,masalah dunia dan masalah nafsu ya kang kata2 kok bersayap kayak burung hantu <links>,1,0,2,tesis-okky
83,"b'Aku gamau marah, gamau memaki tapi sumpaaaah anjir pgn tak pisuhi ae wong iki edan po'",aku tidak mau marah tidak mau memaki tapi sumpaaaah anjir ingin tak marahi saja orang ini edan po,0,1,3,jawa-okky
84,"b'@maspiyuuu Bagi Jokowi yg penting membuat pencitraan dulu krn pilpres sudah dekat, perkara harga saham kemahalan dan ada point2 prinsip yg blm disepakati dll, itu urusan nanti setelah pilpres. Metode kerja rezim Jokowi kan seperti itu.'",bagi jokowi yang penting membuat pencitraan dulu karena pemilihan presiden sudah dekat perkara harga saham kemahalan dan ada poin poin prinsip yang belum disepakati dll itu urusan nanti setelah pilpres metode kerja rezim jokowi kan seperti itu,1,0,2,tesis-okky
85,"b'Belum pernah ada pelatih asing yang menjuarai Piala Dunia. Yang terbaru, Roberto Martinez (melatih Belgia), juga gagal di semifinal.'",belum pernah ada pelatih asing yang menjuarai piala dunia yang terbaru roberto martinez melatih belgia juga gagal di semifinal,0,0,4,tesis-okky
86,"TGB Presiden Nusantara For Indonesia, For Rakyat.",tgb presiden nusantara for indonesia for rakyat,0,0,4,tesis-okky
87,@chnmyfullsun Halah pret burik dari mana si lo\xf0\x9f\x98\xad',halah pret burik dari mana sih lo wajah menangis keras atau menangis tersedu sedu,0,1,3,jawa-nina
88,Iki nek nang ndeso ku di kiro (sensor)  sek https://t.co/ta1NN6nxPC',iki nek di kampungan ku di kiro sensor sek <links>,0,0,4,jawa-nina
89,b'RT @Fahriza92664002: Stw singaraja suka kontol https://t.co/kgNPZ1A6ES',stw singaraja suka kontol <links>,0,1,3,tesis-okky
90,"b'Jadi ceritanya lagi di Bali. Kenalan sama cewe , nanya nanya segala macem sampe akhirnya nanya kuliah. Ternyata dia kuliahnya di IKJ, eh fakultasnya FFTV, eh ternyata kating aing juga. Goblog dunia semakin little.'",jadi ceritanya lagi di bali kenalan sama cewek bertanya bertanya segala macam sampai akhirnya bertanya kuliah ternyata dia kuliahnya di ikj eh fakultasnya fftv eh ternyata kakak tingkat aku juga goblog dunia semakin little,0,1,3,tesis-okky
91,GEBLEG\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\nNGAKAK KEPSLOK https://t.co/oJmhnJzpAT',gebleg wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu ngakak kepslok <links>,0,1,3,jawa-nina
92,b'2020 udah sangat tai.',2020 sudah sangat tai,0,1,3,jawa-okky
93,"@xBONDANx @barcelonabryan aku Geng Dragon Ball, sama Power Ranger, bos!'",aku geng dragon ball sama power ranger bos,0,0,4,jawa-nina
94,"b'@Fahrihamzah Informasi peledakan kapal itu benar, tapi bukan kapal yg diberantas di jaman sekarang, tetapi di rezim sebelumnya karena peledakan kapal boleh dilakukan setelah ada ketetapan hukum, bisa dicek di lembaga hukum kita. Menghitung ikan di laut t",informasi peledakan kapal itu benar tapi bukan kapal yang diberantas di jaman sekarang tetapi di rezim sebelumnya karena peledakan kapal boleh dilakukan setelah ada ketetapan hukum bisa dicek di lembaga hukum kita menghitung ikan di laut t,0,0,4,tesis-okky
95,"b'Pie ceritane dee sek ndue utang pas tak tageh malah ngonek e aku goblok, asuuu bajingan ra kalap koe \xf0\x9f\x98\xad'",pie ceritane adik sek ndue utang pas tak tageh malah ngonek e aku goblok anjing bajingan ra kalap koe wajah menangis keras atau menangis tersedu sedu,1,1,1,jawa-okky
96,"b'@luvmapurple @tubirfess dia kek jadiin autis itu lucu""an, intinya gt deh'",dia kayak jadikan autis itu lucu an intinya begitu deh,0,0,4,tesis-okky
97,b'@tanyainrl ngambung silit https://t.co/AQ2svssm6G',ngambung silit <links>,0,1,3,jawa-okky
98,"b'hm tercyduk kan luh, bangsad.'",hm terciduk kan luh bangsad,1,1,1,tesis-okky
99,"b'RT @defencstration: @MenfesFakeWorld @sxvageman hey, u okay? macam org sinting aja hehehehehe kup tau'",hey kamu okay macam orang sinting saja hehe kup tau,0,1,3,tesis-okky
100,@arjuno_ireng01 Sokor nyonyor cocotmu \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3',sokor nyonyor cocotmu berguling guling di lantai sambil tertawa terbahak bahak berguling guling di lantai sambil tertawa terbahak bahak berguling guling di lantai sambil tertawa terbahak bahak,1,1,1,jawa-nina
101,Sekalian perkosa bayinya\nBejad nanggung https://t.co/iH0GbFrbRs',sekalian perkosa bayinya bejad menanggung <links>,1,1,1,jawa-nina
102,Andai ahok masih jadi gubernur sudah ditutup itu rumah sakit https://t.co/ttrEOfigJ4,andai ahok masih jadi gubernur sudah ditutup itu rumah sakit <links>,1,0,2,tesis-okky
103,@baasithdhil asu aku jek ono fotone koe nggo mantol karo numpak beat ramasuk neng hp lawass \xf0\x9f\x98\xad',anjing aku jek ono fotone koe untuk mantol sama numpak beat ramasuk neng handphone lawass wajah menangis keras atau menangis tersedu sedu,0,1,3,jawa-nina
104,b'@Sita69Sita \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8dpgn ku kentot lh memekmu sayang \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',wajah tersenyum lebar bermata hati wajah tersenyum lebar bermata hati wajah tersenyum lebar bermata hati wajah tersenyum lebar bermata hati pgn ku ngentot lah memekmu sayang wajah tersenyum lebar bermata hati wajah tersenyum lebar bermata hati,0,1,3,jawa-okky
105,"RAHAYU NINGRUM DIY @rningrum4š???MENGUCAPKAN SELAMAT PAGI IBU BP ADIK KAKAK,KAKEK, NENEK, ASSALAMMUALAIKUM, SALOM, HOM SANTI OM, NAMO BUDAYAš???š??®š??©",rahayu ningrum diy š mengucapkan selamat pagi ibu bp adik kakak kakek nenek assalammualaikum salom hom santi om namo budayaš š terdaftar atau registered š hak cipta,0,0,4,tesis-okky
106,"@musicalwriter_ He e, apal lah kudune edan ke 3 tahun ogh'",he e hafal lah harusnya edan ke 3 tahun ogh,0,1,3,jawa-nina
107,"b'@jnroyalsmilk @JenoFess Ribet amat knetz\xf0\x9f\x98\xad\xf0\x9f\x98\xad toh bulu ketek manusiawi anjirrr, cuman dikit pulajj'",ribet amat knetz wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu toh bulu ketek manusiawi anjirrr cuma sedikit pulajj,0,1,3,jawa-okky
108,b'@askmenfess pisang apaan asw gede bgt//',pisang apaan anjing gede bgt,0,1,3,tesis-okky
109,Bokong mu kalah menggoda #sangeberat https://t.co/yeDcpZthXr',bokong mu kalah menggoda sangeberat <links>,0,1,3,jawa-nina
110,USER betul dan semua pihak yg menentang si cina kafir ahok akan di kriminalisasi oleh polisi dgn smua rekayasa hukum nya,user betul dan semua pihak yang menentang sih cina kafir ahok akan di kriminalisasi oleh polisi dengan semua rekayasa hukum nya,1,1,1,tesis-okky
111,"""Saya melihat, terutama di sisi promosi untuk Asian Games, ini baik di media lokal maupun media-media internasional yang belum ada pergerakannya,"" kata Presiden saat memimpin Rapat Terbatas membahas Persiapan Asian Games di Istana Bogor, Rabu (18/4)",saya melihat terutama di sisi promosi untuk asian games ini baik di media lokal maupun media media internasional yang belum ada pergerakannya kata presiden saat memimpin rapat terbatas membahas persiapan asian games di istana bogor rabu 18 4,0,0,4,tesis-okky
112,@arinamiskiyyah @sifahmii @git0ng Eek kata ameng',eek kata ameng,0,1,3,jawa-nina
113,b'@pengendaranaga brisik loe keluarin dulu tai ke',berisik kamu mengeluarkan dulu tai ke,1,1,1,jawa-okky
114,b'@nanapoems Ikr udah tau picek pun masih selpi. \xf0\x9f\x98\xad\xf0\x9f\x98\xad',ikr sudah tau picek pun masih selpi wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu,1,1,1,tesis-okky
115,"b'@sweetesxape Sama kk\nDari sd udh di rasis in aku\nKrn aku batak dan kristen\nPas baru2 di jawa ampun dah, manggil gw aja pake nama adat. Itu baru yg adat belum yg masalah agama.\nTapi sekarang udh agak jarang kaya gitu sih\nJadi aku cuma bisa nyaranin s",sama kakak dari sekolah dasar sudah di racist in aku krn aku batak dan kristen pas baru baru di jawa ampun dah memanggil gue saja pakai nama adat itu baru yang adat belum yang masalah agama tapi sekarang sudah agak jarang kayak begitu sih jadi aku cuma bisa menyarankan si,0,0,4,tesis-okky
116,"PT20langgarkonstitusi Rezim otoriter ini gk habis-habis tabrak-tubruk UU, kali ini undang-undang Dasar pun mau dijebol..mk waktunya lengserkan jokowi",pt20langgarkonstitusi rezim otoriter ini tidak habis habis tabrak tubruk uu kali ini undang undang dasar pun mau dijebol mk waktunya lengserkan jokowi,1,0,2,tesis-okky
117,b'@zarxhyun kenapa picek sebelah',kenapa picek sebelah,0,1,3,jawa-okky
118,b'@triwnkle bokongmu ak tndang\xf0\x9f\xa7\x9a',bokongmu aku tndang peri,0,0,4,jawa-okky
119,b'cocote cakep banget cewenya anjg kok bisa lu dulu milih sama gua....',cocote cakap banget ceweknya anjing kok bisa kamu dulu memilih sama gua,0,1,3,jawa-okky
120,"b'Mulut Jamban, Bani Taplak, Bani Serbet, Cebongers, Taikers, Sumbu Pendek, IQ jongkok dan masih banyak lagi, itu benar-benar familier ditelinga. \n\nLalu, siapa sebenarnya yang memulai?\n\nEntahlah, tapi kalo harus menghentikan istilah ""Cebong dan Kampret",mulut jamban bani taplak bani serbet cebongers taikers sumbu pendek iq jongkok dan masih banyak lagi itu benar benar familier ditelinga lalu siapa sebenarnya yang memulai entahlah tapi kalau harus menghentikan istilah cebong dan kampret,1,1,1,tesis-okky
121,b'@tishoy Wkwkwkw ccd ahhhh',wkwkwkw cacat ahhhh,0,1,3,tesis-okky
122,"b'@jolofiles @drakoridfess kl sokor gak underrated sih, tp di sini jrg banget dibahas'",kalau sokor tidak underrated sih tetapi di sini jarang banget dibahas,0,0,4,jawa-okky
