text,original_answer,postprocessed_answer,label
kebayang ga si lu ngewe sambil diliatin tante kun dan kawan kawan di balik pohon wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu wajah menangis keras atau menangis tersedu sedu,'pornografi'  # Jawaban dalam label 'pornografi,konten_porno_prostitusi,konten_porno_prostitusi
jembut api ada saingannya sekarang,'non_pornografi'  # Jawaban harus berupa string,non_porno_non_prostitusi,konten_porno_prostitusi
biasanya kalau orang koar² surat pemberitahuan tahunan itu malah banci kaleng cuma sekadar nakut²in kalo nyali benaran langsung eksekusi enggak usah pamer apalagi di medsos lagian tega banget ini kasih info surat pemberitahuan tahunan ini kalo tahu bisa di cari nih krn habis bacok org,"- pornografi

Ketik jawaban Anda dalam kotak jawaban",konten_porno_prostitusi,konten_porno_prostitusi
lgbt kok di dukung sehat lu,non_pornografi  #Jika jawaban hanya berisi ',non_porno_non_prostitusi,non_porno_non_prostitusi
dasar lelaki lelaki banci bisanya keroyokan,"non_pornografi
- Teks: 'cinta kamu k",non_porno_non_prostitusi,konten_porno_prostitusi
tu de poin aja yang tembem tuh memek ajgg menyeringai,'pornografi'  # atau 'non_pornografi',non_porno_non_prostitusi,konten_porno_prostitusi
bahas kucing jilati titit kenapa kamu gembira banget dasar mesum,"- pornografi


Kode:
```python
def cek_p",konten_porno_prostitusi,konten_porno_prostitusi
tanda nya aku kalau berbicara suka muncrat,"- 'pornografi' 
- 'non_pornografi'",non_porno_non_prostitusi,non_porno_non_prostitusi
mosok iyo cadbury rasa jembut,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
open bo video call sex include hotel mesin judi atau casino isi slot sayang info rr amplop dengan panah dm yah wa panggilan masuk atau telepon masuk 082259722360 openexpopontianak availpontianak openbopontianak bopontianak cewekbopontianak bispakpontianak pontianakbo lendirpontianak pontianakavailbo pontianakmembara recommended4bo <links>,"non_pornografi 

Teks di atas adalah contoh teks",non_porno_non_prostitusi,konten_porno_prostitusi
mau donhlg jilati memek sampai nenen nya,"'pornografi'  # jawaban dalam label string


# K",konten_porno_prostitusi,konten_porno_prostitusi
adalah cebong laten kalo lagi lapar pasti jadi lonte,"non_pornografi
- Teks:'siapa yang bisa",non_porno_non_prostitusi,konten_porno_prostitusi
temen2 gue pada menawari nih botol ada yang 15rb 20rb 25rb sampai 27rb nanti kalau gue beli disalah satunya pada bilang sudah kenapa tidak beli di gue aja titit kamu nanti gue potong ya <links>,- 'pornografi' atau 'non_pornografi' ,non_porno_non_prostitusi,konten_porno_prostitusi
pergi sana kamu lonte,"'pornografi'  # Jawaban yang benar
'porn",konten_porno_prostitusi,konten_porno_prostitusi
ngentot berarti jokap juga babu kan dia mantan lu,"pornografi 
--------------------------------------------------------

import re
import nltk
from nltk.cor",konten_porno_prostitusi,konten_porno_prostitusi
kayakx kalau tidur breng ibu sambil bugil enak nie,'pornografi'  # jawaban yang harus diberikan untuk,konten_porno_prostitusi,konten_porno_prostitusi
orang indie itu ras macam apa ngentot <links>,"pornografi  ### 1
non_pornografi  ###",non_porno_non_prostitusi,konten_porno_prostitusi
mau ngentot kok nikah sih ya bo saja anjing tidak usah nikah kalau mau ngentot doang mah kalau mau berkeluarga baru nikah tolol lu,"'pornografi' 
'non_pornografi' 
'",non_porno_non_prostitusi,konten_porno_prostitusi
pengen mengemut punya memek kamu sayank lidah yum atau enak atau lezat yum atau enak atau lezat abank ingin banget nie abank sange banget farah boleh tidak abank milad memek kamu farah hub no wa abank ya farah 082340864702wa <links>,- 'pornografi' atau 'non_pornografi' ,non_porno_non_prostitusi,konten_porno_prostitusi
lu bertanya kita kita bertanya sape lagian kalau homo tidak mau sama lu udeh enggak usah halu deh bencong,"'pornografi' atau 'non_pornografi' 
-",non_porno_non_prostitusi,konten_porno_prostitusi
percaya pelic siau hti bela pancasila ibarat percaya psk mengakui masih perawan wajah gembira berurai air mata senyum keringat berguling guling di lantai sambil tertawa terbahak bahak,"'pornografi'  # jawaban yang benar
'non",konten_porno_prostitusi,konten_porno_prostitusi
sory kudet baru keluar dari rumah memang gledek itu masalahnya apa sih njimm ada yang bilang endorse itu titit lah ini lah bingung gue anjim,"- pornografi/non_pornografi


Kode:
```python",non_porno_non_prostitusi,konten_porno_prostitusi
kadang dipanggil perek juga menengok kamu to,'non_pornografi'  # Jawaban yang tepat jika,non_porno_non_prostitusi,konten_porno_prostitusi
lo tanya sama paus dia kan mamalia nah kalau nete asi nya bagaimana rasanya,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,non_porno_non_prostitusi
oh iya kamu sekarang kontol hunter,- pornografi  (atau 'non_pornografi',non_porno_non_prostitusi,konten_porno_prostitusi
bokep abg striptease bokep bokepsma bokepjepang bokepsmp bokepjav abgsange abghot abgtoge abgbisyar bisyarjogja bisyar bispak bispakjakarta bisyarbandung <links>,"'pornografi' 
'pornografi' 
'pornogra",konten_porno_prostitusi,konten_porno_prostitusi
titit kamu sini gue tarik gue putar ngehek kamu jing,'pornografi'  # Jawaban dari soal di atas.,konten_porno_prostitusi,konten_porno_prostitusi
wah habis ngewe ya hehe,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
apa apaan kamu jepron mending ganti jembut,"- pornografi

Jawaban: pornografi

Jaw",konten_porno_prostitusi,konten_porno_prostitusi
moga kontol lu bucat semua anjing,'pornografi'  # jawaban berupa string 'pornogra,konten_porno_prostitusi,konten_porno_prostitusi
sembuh anjing tertawa bgt kamu goblok memang lgbt itu penyakit tolol <links>,"- pornografi 
- non_pornografi 
- pornogra",non_porno_non_prostitusi,non_porno_non_prostitusi
ngentot sama pacar di hotel ngentotabg sange toketgede abgbugil tantekesepian memekbecek tantebugil <links>,'pornografi' atau 'non_pornografi'  sil,non_porno_non_prostitusi,konten_porno_prostitusi
orang awam kontol bisanya memaki doang muka kamu saja sana yang oplas ngentot,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
gini coy jika lgbt itu semakin banyak bisa saja ibu kamu mau jadi lesbi karena ada banyak lesbi di luar sana anak kamu gay karena banyak gay di luar sana memang tidak merugikan kamu skrng tapi kalau sampai sah orang bisa kena pasal karena tidak mau merestui hubungan lgbt,"- non_pornografi 
- pornografi 
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
pc sticker suhum pc holo sticker reg irreg cashbee suhum standee holo itu kakak pc pc nya yang masih avail sama lenti fanmade,"- non_pornografi 

Kode:
```python
def c",non_porno_non_prostitusi,non_porno_non_prostitusi
itu sih adeknya ingin bilang ngab kamu jangan siul sudah iler kamu pada muncrat di gue anjrot,- 'pornografi' atau 'non_pornografi' ,non_porno_non_prostitusi,non_porno_non_prostitusi
ngentot ngentot sama kamu semua skskskksks geli tetapi lagi pas banget nih lagu,'non_pornografi'  # Karena tidak mengandung,non_porno_non_prostitusi,konten_porno_prostitusi
dua tiga tutup botol saae kamu kntl,"'pornografi' 





Jawaban = 'pornografi",konten_porno_prostitusi,konten_porno_prostitusi
ngewe hayuuu sialan wajah menangis keras atau menangis tersedu sedu patah hati,'pornografi'  # Teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
teruntuk kamu pada yang makai stiker beginian di instagram tapi masih memaki kor3a gay no komen deh wajah gembira <links>,"non_pornografi 





Tugas: Diberikan sebuah te",non_porno_non_prostitusi,non_porno_non_prostitusi
download bokep publicagent jepang pemerkosaan faketaxi fakeagent anal indo perawan semua nya lengkap <links>,'pornografi' jika teks mengandung unsur pornografi,konten_porno_prostitusi,konten_porno_prostitusi
kalo sekadar malu tak apa2 yang seharusnya di takutkan kena azab allah gara gara lgbt dibiarkan lgbt manusia laknat yang mengundang azab allah secara merata seperti umatnya kaum luth kamu pelaku lgbt juga ya,'pornografi'  # jawaban harus dalam bentuk string ',konten_porno_prostitusi,non_porno_non_prostitusi
bokep apa,"- non_pornografi
- pornografi
- non_p",non_porno_non_prostitusi,konten_porno_prostitusi
setauku nama a aborsi dilakukan apabila dia itu korban pelecehan seksual itupun harus ada persetujuan dari orang tua a sih korban bukan karena perbuatan ngewe atas dasar suka sama suka silahkan kalau ada yang mau berpendapat lain itu hanya sepengetahuanku saja kok,"non_pornografi 





Masukkan jawaban Anda: non_p",non_porno_non_prostitusi,konten_porno_prostitusi
twit sih anjing ini reply nya di off dasar perek peradaban lu adik ipar edo kondologit merampok memerkosa lalu membunuh seorang perempuan umur 70 masih saja kamu jualan derita orang papua demi biayyain beasiswa kamu ya balikin itu duit negara buruan dasar kuman <links>,"- 'pornografi' atau 'non_pornografi' 


",non_porno_non_prostitusi,konten_porno_prostitusi
gue yang nete,'pornografi'  # Jawaban harus berupa string dan hanya,konten_porno_prostitusi,konten_porno_prostitusi
anjay anjir anjir anjir lutfi goblok masalah anjir dipermasalahin kontol gapernah nongkrong ya sama teman teman lu ato tidak punya teman di real life trus cari sensasi di media sosial wkwkkw,"'pornografi'  # Jawaban yang benar
'porn",konten_porno_prostitusi,konten_porno_prostitusi
lah terciduk kok dia segolongan lgbt,'pornografi'  # jawaban harus dalam bentuk string.,konten_porno_prostitusi,non_porno_non_prostitusi
lu anak lonte ya hidup kamu tidak akan tenang,- non_pornografi  # atau 'pornografi' jika,non_porno_non_prostitusi,konten_porno_prostitusi
gamau dia tidak maho,"non_pornografi
- Teks: 'gue bilangnya",non_porno_non_prostitusi,konten_porno_prostitusi
heran kok masih ada orang nikah buat ngehindarin zina otak kamu isinya ngewe doang bos,'pornografi'  # jawaban harus dalam label 'pornogra,konten_porno_prostitusi,konten_porno_prostitusi
lu mau teman kamu masuk penjara gara menyiksa banci wkwk,'non_pornografi'  # Keluaran jawaban harus,non_porno_non_prostitusi,non_porno_non_prostitusi
avail say 100 open bo jakpus cash no dp tetesan keringat cek rr segera telepon <links> availjakarta availjakpus bojakarta bojakpus openbojakarta availjkt bispakjakpus bisyarjakpus bispakhot wpjakpus panlokjakarta kulinerlendir angeljakpus realbo trustedbo recomended4bo <links>,"- pornografi 
- non_pornografi 
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
nambah 100 bisa menyewa pecun,"'pornografi'  # jawaban yang benar
'porn",konten_porno_prostitusi,konten_porno_prostitusi
opn bo dan pijt jln cicendo wa 083829755119 waria69 wariajos wariabandung shemaletopbandung pijatpria pijatbandung pijatcrot massagevip <links>,'pornografi' jika teks mengandung unsur pornografi,konten_porno_prostitusi,konten_porno_prostitusi
perek tukang tipu nih bukti kelean tidak uh percaya sekarang jelas bukti biar ajurrr luh pepek semua di blokir lo makan itu uang entek nyowo mu suka bgset <links>,"- 'pornografi' atau 'non_pornografi' 
",non_porno_non_prostitusi,konten_porno_prostitusi
zuuuullll gantian yaaa biar yang punya titit kecil duluan lo beli sabun dulu wajah gembira wajah gembira wajah gembira,"'pornografi'  # jawaban yang diharapkan 
",konten_porno_prostitusi,konten_porno_prostitusi
mbanya mungkin habis menonton bokep jadinya salah sebut,"- non_pornografi
- pornografi
- non_p",non_porno_non_prostitusi,konten_porno_prostitusi
lah kontol badanlu saja gabagus apa kamu komentari badan orang ngentot makan ludah sendiri kamu ya anjing,'pornografi'  # jawaban harus dalam format 'pornogra,konten_porno_prostitusi,konten_porno_prostitusi
lo ngewe sama teman gue anjing sudah begitu dia heather ngentot bagaimana gue mau marah terlalu lelah,"'pornografi'  # jawaban yang benar

# In",konten_porno_prostitusi,konten_porno_prostitusi
bersyukur goblok bukannya cuma dapat ini cuma dapat ini ngentot kamu bgst,'pornografi'  # Karena mengandung kata-kata,konten_porno_prostitusi,konten_porno_prostitusi
dasar mobil kamu tukang ngentot,"'pornografi'  # jawaban harus dalam bentuk string,",konten_porno_prostitusi,konten_porno_prostitusi
62 823 9111 5459 cewek bokingan daerah payakumbuh bisa datang ke alamat bispak padang bookingan tantegirang janda jablay,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
role itu tidak penting buat gua please banget pikiran gue tidak cuma ngewe doang kayak kamu amnjinc,"'pornografi' atau 'non_pornografi' 
-",non_porno_non_prostitusi,konten_porno_prostitusi
stlh ngaceng mainkan sesuka mu jika mau ejakulasi hentikn ulngi sampai lima kali atau lebihh setelah itu waktu orgasme crootny akan lebih l,"- non_pornografi 
- pornografi 
- non_p",non_porno_non_prostitusi,konten_porno_prostitusi
ngentod nih orang jakarta berkumpul disentul sudah kayak apa tau,"non_pornografi
Kode:
```python
def check_p",non_porno_non_prostitusi,konten_porno_prostitusi
market sih ziz kemungkinan besar dengan menambahkan karakter gay mungkin akan menambah rating dalam keberagaman karakter,"non_pornografi 
  -- 8a2c7a",non_porno_non_prostitusi,non_porno_non_prostitusi
ga melulu soal sex apa sih ngentot basi bgt bilang saja kamu mau buat dia nyaman biar dapat gratis kan gblk,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
indo bokep bokepjapan bokepcina menonton film bokep bokepindia gudang bokep bokeparab cerita bokep bokepthailand bokep indo terbaru video bokep indo bokep hot bokepperawan ><links>,"'pornografi' 
'pornografi' 
'pornogra",konten_porno_prostitusi,konten_porno_prostitusi
yuk ngewe soputan,"'pornografi' 
'pornografi' 
'pornogra",konten_porno_prostitusi,konten_porno_prostitusi
ribet banget kamu jadi guru juga enggak mau repott mencari tgas dari youtube suruh ngerangkum mulu anak kelas 2 sekolah dasar ngentot tiap hari ambil video random anak murid nya suruh ngerangkum doang tai apa sih tidak jelas mending videonya 10 menitan lah ini 30 menit anjing,"- pornografi  atau non_pornografi 

Kode:
",non_porno_non_prostitusi,konten_porno_prostitusi
kak ara saja kenapa termenung atau wajah merenung atau wajah menyesal gue berasa bencong nama gue kemayu banget,"- pornografi
- non_pornografi
- pornogra",non_porno_non_prostitusi,konten_porno_prostitusi
wkwkwk kampang air matikan setooooo,- non_pornografi  # (atau 'pornografi,non_porno_non_prostitusi,non_porno_non_prostitusi
sange aaaaaaaaaah memek gatal sayang ingin diseruduk kontol retweet sayang yang ingin ngentot menyentuh hati atau memberikan ciuman hati kuy <links>,"- 'pornografi' atau 'non_pornografi' 
",non_porno_non_prostitusi,konten_porno_prostitusi
gws pantat nya kak lilixxxx mumuuu tertawa senyum lebar,"'pornografi' atau 'non_pornografi' 

Mas",non_porno_non_prostitusi,non_porno_non_prostitusi
dahlah intinya kamu lemah nah dari kalimat sebelumnya pasti kamu tersinggung kan halah ya sudah lah serah kamu ae kontol makanya main sama orang india jadi kalau kamu di ejek kebal blok cari teman yang suka mengejek biar kamu kebal blok,"'pornografi'  # Jika jawaban tidak sesuai,",konten_porno_prostitusi,konten_porno_prostitusi
padahal bagian ngewe,"pornografi

Tugas: Diberikan sebuah teks pada input",konten_porno_prostitusi,konten_porno_prostitusi
awas muncrat kopinyaaa wajah gembira berurai air mata,"- 'pornografi' 
- 'non_pornografi'",non_porno_non_prostitusi,non_porno_non_prostitusi
tidak ah kamu bencong,"non_pornografi
- Teks: 'kamu bencon",non_porno_non_prostitusi,non_porno_non_prostitusi
avail hotel aston kupang minat info direct message saja wanita dan pria berciuman <links>,"- pornografi

Tolong gunakan model bahasa alami",konten_porno_prostitusi,konten_porno_prostitusi
temen kantor pria berambut merah cuuk kamu ngewe crot dalam ya anak laki laki kapan anjiing ngadi2 kamu pria berambut merah tuuh kamu hamil pegang perut sambil teriak wah sudah isi 3 bulan anak laki laki ooo lah anjing konco bangsat wkwkwk,'pornografi'  # Keluaran jawaban yang hanya dapat,konten_porno_prostitusi,konten_porno_prostitusi
untung gue tidak ngaceng pas lihat jojo buka2an alhamdulillah gue masih normal,"'non_pornografi'  # Jawaban akhir
================",non_porno_non_prostitusi,konten_porno_prostitusi
cukup kaget dengan salah satu cerita pasangan suami istri bahwa ia tidak pernah dapat kepuasan saat di ranjang ternyata saat dikulik lebih mendalam sang suami hanya memikirkan nafsunya semata padahal dalam berhubungan sex kita perlu mementingkan kepuasan setiap pasangan sex kita,"'non_pornografi' 
'pornografi' 
'",non_porno_non_prostitusi,konten_porno_prostitusi
berasa apa begitu kontol gue baru kamu bilang gini,pornografi  # jawaban dari soal nomor 11.,konten_porno_prostitusi,konten_porno_prostitusi
di sini avail lirik ini yuk kak mau open batch bintang jatuh,'non_pornografi'  # jawaban harus diisi dengan,non_porno_non_prostitusi,non_porno_non_prostitusi
ngewe adalah belakangan yang penting banyak duit dulu akwowkoqkwowkwowkwk,'pornografi'  # Jika jawaban teks mengand,konten_porno_prostitusi,konten_porno_prostitusi
asli tidak resep banget sama motor gede motor gede sunmori tai anjing yg ada di jalan raya bukan kamu sama komunitas kamu doang kntl,'pornografi'  # Jika teks mengandung unsur,konten_porno_prostitusi,konten_porno_prostitusi
he say 3 hari sama istri pertama 3 hari sama istri kedua dan itu adil kontol adil dari mana kamu enak ngewe mulu saban ari lah bini kamu kadang kesepian 3 hari,- 'pornografi' atau 'non_pornografi' ,non_porno_non_prostitusi,konten_porno_prostitusi
mau ngliatin bokong paripurna nya,"pornografi 





Input:
- Teks: 'kamu kayak",konten_porno_prostitusi,konten_porno_prostitusi
pembesar penis pemuas sex <links> tantenakal tantegirang tantemesum sex bispak bisyar sma,"- 'non_pornografi' 
- 'pornografi'",non_porno_non_prostitusi,non_porno_non_prostitusi
tititku ngaceng lihat ini wajah kutu buku menunjuk ke kanan menunjuk ke kiri,'pornografi'  # Jawaban hanya dapat berupa 'porn,konten_porno_prostitusi,konten_porno_prostitusi
gabole berbicara anjir tidak apa apa masih bisa anjing babi bangsat ngentot lebay kamu tai,'pornografi'  # Jika teks mengandung unsur,konten_porno_prostitusi,konten_porno_prostitusi
ini masih pacaran apalagi kalau sudah nikah tinggalin mba kamu lebih berharga daripada sih berengsek itu buat sih masnya lo gapunya hak atas diri mbanya dan lo gapunya hak buat ngatain mbanya lonte,"'pornografi' atau 'non_pornografi' 
-",non_porno_non_prostitusi,konten_porno_prostitusi
open bo area bandung kota 300rb gaybatam gaybandung gaybandung gaylokal gbpromote <links>,"- pornografi 





Untuk mengatasi masalah tersebut,",konten_porno_prostitusi,konten_porno_prostitusi
vcs availvcs avail seperti biasa ya sayang langusng saja wa 081271780431 buat video call sex langusng layani vcsbugil vcscroot vcscolmek vcscroot realangels realangel vcsindonesia openvcs openbo availjogjakarta vcshot availvcs availvcs vcscolmek vcscrot <links>,"- 'pornografi' atau 'non_pornografi' 

",non_porno_non_prostitusi,konten_porno_prostitusi
gak ada hubungannya sama kadrun tolol lu tanya cebong setuju tidak lgbt kalau setuju berarti tolol juga,"- pornografi/non_pornografi
- Teks jawaban",non_porno_non_prostitusi,non_porno_non_prostitusi
kalo orang yang diutangin mati kamu mau bayar ke siapa setan heran utang sudah mau 2 tahun tidak lunas lunas masih menunggak saja 2 juta asu jualan lancar liburan lancar jalan jalan lancar beli lightstick lancar ngentot memang gue menyumpahi deh hidupnya bahagia,- 'pornografi' jika teks mengandung unsur pornogra,konten_porno_prostitusi,konten_porno_prostitusi
yang bermasalah itu lo goblok pakar bahasa dan dan ahli bahasa aja ngga repot kayak lo cari temen yang banyak bukan banyak cari sensasi dasar bocah ngentot <links>,"'pornografi'  # jawaban yang benar

### Jaw",konten_porno_prostitusi,konten_porno_prostitusi
mau nete dong cantik,pornografi  #Jawaban harus dalam bentuk string. #,konten_porno_prostitusi,konten_porno_prostitusi
